title	year	medium	filename
(untitled)	1957	mixed-media	hk0001
II	1964	drawing	hk0002
(chimeras)	1966	print	hk0003
(untitled)	1966	print	hk0004
(woman in patterned dress)	1966	painting	hk0005
4	1966	print	hk0006
(untitled)	1966	print	hk0007
(untitled)	1966	print	hk0008
(mirror image)	1966	print	hk0009
red black	1967	print	hk0010
the german tank	1967	print	hk0011
Its better to be born	1967	print	hk0012
Psst, Be Quiet	1967	print	hk0013
Look up	1967	print	hk0014
To Heaven and Earth	1967	print	hk0015
Nobody Cares	1967	print	hk0016
the darkness you'd be in	1967	print	hk0017
dont	1967	print	hk0018
people	1967	print	hk0019
mister blackhat made it again	1967	print	hk0020
turn and you may see	1967	print	hk0021
x	1967	print	hk0022
I	1967	print	hk0023
(the german tank)	1967	print	hk0024
(untitled)	1967	print	hk0025
(untitled)	1967	print	hk0026
(untitled)	1967	print	hk0027
(untitled)	1967	print	hk0028
(untitled)	1967	print	hk0029
(untitled)	1967	print	hk0030
(untitled)	1967	print	hk0031
(untitled)	1967	print	hk0032
(untitled)	1967	print	hk0033
(untitled)	1967	print	hk0034
(untitled)	1967	print	hk0035
take your hands off	1968	print	hk0036
circles	1968	print	hk0037
xxxx	1968	print	hk0038
for her name this day...	1968	print	hk0039
Zoom Ahead	1971	print	hk0040
infected by her roots of dirty stockings	1971	print	hk0041
The scale you take of me	1971	print	hk0042
Go, Leo, go	1971	print	hk0043
reduce to 4 3/16	1971	print	hk0044
Bill Bony's Body Builder	1971	print	hk0045
Three different views	1971	print	hk0046
your favorite word	1971	print	hk0047
forget it	1971	print	hk0048
womens slow up	1971	print	hk0049
positive action of a new antipersperant	1971	print	hk0050
can't you figure out all this for yourself	1971	print	hk0051
659-3278	1971	print	hk0052
hey fellow, come on over to my place	1971	print	hk0053
see?	1971	print	hk0054
plug him at my reeling frame	1971	print	hk0055
critics tell us how we feel	1972	print	hk0056
(Construction Specifier Cover Nov 1972)	1972	sculpture	hk0057
jane fonda (purple)	1976	design	hk0058
jane fonda (orange)	1976	design	hk0059
jane fonda (pink)	1976	design	hk0060
sociology	1976	print	hk0061
the state of the arts	1978	poster	hk0062
Freedom vs Regulation	198?	poster	hk0063
(freedom vs regulation: eugene mccarthy)	198?	poster	hk0064
(dance auditions)	1982	poster	hk0065
the designer and the technology explosion	1982	poster	hk0066
mfa show invitation	1991	print	hk0067
(untitled)	?	painting	hk0068
(untitled)	?	painting	hk0069
(father, smoking)	196?	painting	hk0070
(leaning woman)	196?	painting	hk0071
(siblings)	196?	painting	hk0072
(portrait)	196?	painting	hk0073
(monster)	196?	painting	hk0074
(portrait)	196?	painting	hk0075
antonia fraser dolls	196?	drawing	hk0076
(untitled)	196?	print	hk0077
(untitled)	196?	painting	hk0078
(untitled)	196?	painting	hk0079
(pensive woman)	196?	drawing	hk0080
(traffic signs)	196?	painting	hk0081
(reclining man)	196?	painting	hk0082
(blue devil)	196?	painting	hk0083
(untitled)	196?	print	hk0084
(redhead)	196?	painting	hk0085
(untitled)	196?	painting	hk0086
(sleeping woman)	196?	painting	hk0087
(neckless man)	196?	painting	hk0088
(distressed woman)	196?	painting	hk0089
(mother)	196?	painting	hk0090
(snip)	196?	print	hk0091
(female christ)	196?	print	hk0092
(thin woman)	196?	painting	hk0093
(self portrait)	196?	painting	hk0094
(sitting woman)	196?	painting	hk0095
(sitting nude)	196?	painting	hk0096
(untitled)	197?	print	hk0097
(untitled)	197?	collage	hk0098
(untitled)	197?	print	hk0099
(portrait)	197?	drawing	hk0100
(untitled)	197?	print	hk0101
(untitled)	197?	print	hk0102
(turn and you may see)	197?	painting/print	hk0103
(zappa)	197?	print	hk0104
(colored shadow)	197?	painting	hk0105
(boxed figures)	197?	print	hk0106
(live)	197?	print	hk0107
(untitled)	197?	print	hk0108
(untitled)	197?	collage	hk0109
(self portrait)	197?	painting	hk0110
Heinz Klinkon letterhead	197?	design	hk0111
(anthropomorphic)	198?	print	hk0112
(negative swiss bank note)	198?	print	hk0113
(swiss bank note)	198?	print	hk0114
(negative street photo)	198?	print	hk0115
(suit descending the stairs)	198?	photograph	hk0116
(4 plates)	198?	mixed-media	hk0117
(self portrait)	198?	photograph	hk0118
(self portrait)	198?	mixed-media	hk0119
(self portrait)	198?	photograph	hk0120
(self portrait)	198?	photograph	hk0121
(untitled)	199?	mixed-media	hk0122
(wedding illustration)	197?	drawing	hk0123
sans ansel adams	199?	mixed-media	hk0124
(colander)	199?	sculpture	hk0125
duh	199?	sculpture	hk0126
(dogface)	199?	mixed-media	hk0127
flag	1990	mixed-media	hk0128
(flag)	1990	sculpture	hk0129
(loom weights)	198?	mixed-media	hk0130
fig leaf	198?	mixed-media	hk0131
moma chair	198?	sculpture	hk0132
prefix	199?	sculpture	hk0133
(prezel heart)	200?	sculpture	hk0134
(hurdle)	200?	sculpture	hk0135
yes	2007	sculpture	hk0136
